ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
587,20130609,20130621,20130616,14494,1,100,1,SO59801,1,1,1,769.49,769.49,0,0,419.7784,419.7784,769.49,61.5592,19.2373,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
587,20130609,20130621,20130616,14367,1,100,1,SO59802,1,1,1,769.49,769.49,0,0,419.7784,419.7784,769.49,61.5592,19.2373,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
476,20130609,20130621,20130616,14367,1,100,1,SO59802,2,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
593,20130609,20130621,20130616,13085,1,100,1,SO59803,1,1,1,564.99,564.99,0,0,308.2179,308.2179,564.99,45.1992,14.1248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
485,20130609,20130621,20130616,13085,1,100,1,SO59803,2,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
214,20130609,20130621,20130616,13085,1,100,1,SO59803,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
467,20130609,20130621,20130616,13085,1,100,1,SO59803,4,1,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
363,20130609,20130621,20130616,13897,2,100,1,SO59804,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
485,20130609,20130621,20130616,13897,1,100,1,SO59804,2,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
353,20130609,20130621,20130616,11799,1,100,1,SO59805,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
478,20130609,20130621,20130616,11799,1,100,1,SO59805,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
477,20130609,20130621,20130616,11799,1,100,1,SO59805,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
484,20130609,20130621,20130616,11799,1,100,1,SO59805,4,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
359,20130609,20130621,20130616,13473,1,100,4,SO59806,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
478,20130609,20130621,20130616,13473,1,100,4,SO59806,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
477,20130609,20130621,20130616,13473,1,100,4,SO59806,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
481,20130609,20130621,20130616,13473,1,100,4,SO59806,4,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
359,20130609,20130621,20130616,14115,1,100,1,SO59807,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
480,20130609,20130621,20130616,14115,1,100,1,SO59807,2,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
353,20130609,20130621,20130616,14478,2,19,6,SO59808,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
485,20130609,20130621,20130616,14478,1,19,6,SO59808,2,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
586,20130609,20130621,20130616,14937,1,98,10,SO59809,1,1,1,742.35,742.35,0,0,461.4448,461.4448,742.35,59.388,18.5588,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
214,20130609,20130621,20130616,14937,1,98,10,SO59809,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
579,20130609,20130621,20130616,26948,1,100,8,SO59810,1,1,1,1214.85,1214.85,0,0,755.1508,755.1508,1214.85,97.188,30.3713,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
490,20130609,20130621,20130616,26948,1,100,8,SO59810,2,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
467,20130609,20130621,20130616,26948,1,100,8,SO59810,3,1,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
583,20130609,20130621,20130616,19620,1,6,9,SO59811,1,1,1,1700.99,1700.99,0,0,1082.51,1082.51,1700.99,136.0792,42.5248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
582,20130609,20130621,20130616,14855,1,6,9,SO59812,1,1,1,1700.99,1700.99,0,0,1082.51,1082.51,1700.99,136.0792,42.5248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
225,20130609,20130621,20130616,14855,1,6,9,SO59812,2,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
380,20130609,20130621,20130616,19968,1,6,9,SO59813,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
606,20130609,20130621,20130616,27366,1,6,9,SO59814,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
606,20130609,20130621,20130616,28315,1,6,9,SO59815,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
479,20130609,20130621,20130616,28315,1,6,9,SO59815,2,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
484,20130609,20130621,20130616,28315,1,6,9,SO59815,3,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
604,20130609,20130621,20130616,27353,1,6,9,SO59816,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
479,20130609,20130621,20130616,27353,1,6,9,SO59816,2,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
477,20130609,20130621,20130616,27353,1,6,9,SO59816,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
214,20130609,20130621,20130616,27353,1,6,9,SO59816,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
584,20130609,20130621,20130616,27355,1,6,9,SO59817,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
538,20130609,20130621,20130616,27355,1,6,9,SO59817,2,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
529,20130609,20130621,20130616,27355,1,6,9,SO59817,3,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
217,20130609,20130621,20130616,27355,1,6,9,SO59817,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
584,20130609,20130621,20130616,22573,1,6,9,SO59818,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
568,20130609,20130621,20130616,26521,1,100,1,SO59819,1,1,1,742.35,742.35,0,0,461.4448,461.4448,742.35,59.388,18.5588,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
484,20130609,20130621,20130616,26521,1,100,1,SO59819,2,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
577,20130609,20130621,20130616,28580,1,100,4,SO59820,1,1,1,1214.85,1214.85,0,0,755.1508,755.1508,1214.85,97.188,30.3713,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
577,20130609,20130621,20130616,25411,1,100,4,SO59821,1,1,1,1214.85,1214.85,0,0,755.1508,755.1508,1214.85,97.188,30.3713,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
575,20130609,20130621,20130616,25407,1,100,1,SO59822,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
477,20130609,20130621,20130616,25407,1,100,1,SO59822,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
479,20130609,20130621,20130616,25407,1,100,1,SO59822,3,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
575,20130609,20130621,20130616,25410,1,100,4,SO59823,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
576,20130609,20130621,20130616,25425,1,100,4,SO59824,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
489,20130609,20130621,20130616,25425,1,100,4,SO59824,2,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
606,20130609,20130621,20130616,16219,2,19,6,SO59825,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
479,20130609,20130621,20130616,16219,1,19,6,SO59825,2,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
477,20130609,20130621,20130616,16219,1,19,6,SO59825,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
581,20130609,20130621,20130616,23486,1,19,6,SO59826,1,1,1,1700.99,1700.99,0,0,1082.51,1082.51,1700.99,136.0792,42.5248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
539,20130609,20130621,20130616,23486,1,19,6,SO59826,2,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
529,20130609,20130621,20130616,23486,1,19,6,SO59826,3,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
222,20130609,20130621,20130616,23486,1,19,6,SO59826,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
581,20130609,20130621,20130616,13084,1,19,6,SO59827,1,1,1,1700.99,1700.99,0,0,1082.51,1082.51,1700.99,136.0792,42.5248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
214,20130609,20130621,20130616,13084,1,19,6,SO59827,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
490,20130609,20130621,20130616,13084,1,19,6,SO59827,3,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
225,20130609,20130621,20130616,13084,1,19,6,SO59827,4,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
606,20130609,20130621,20130616,26931,2,98,10,SO59828,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
538,20130609,20130621,20130616,26931,1,98,10,SO59828,2,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
605,20130609,20130621,20130616,11243,1,98,10,SO59829,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,NA,NA,2013-06-09T00:00:00.0000000,2013-06-21T00:00:00.0000000,2013-06-16T00:00:00.0000000
